Layer,Hf,Wf,Cin,Cout,FLOPS,Time
2,3,3,3,64,86704128,0.19541406631469727
2,3,3,3,64,86704128,0.19570207595825195
2,3,3,3,64,86704128,0.17618083953857422
2,3,3,3,64,86704128,0.21142315864562988
2,3,3,3,64,86704128,0.17175769805908206
2,3,3,3,64,86704128,0.2077467441558838
2,3,3,3,64,86704128,0.20797514915466309
2,3,3,3,64,86704128,0.2140977382659912
2,3,3,3,64,86704128,0.17200326919555664
2,3,3,3,64,86704128,0.1826186180114746
2,3,3,3,64,86704128,0.1924734115600586
2,3,3,3,64,86704128,0.1792302131652832
2,3,3,3,64,86704128,0.2029423713684082
2,3,3,3,64,86704128,0.21244287490844727
2,3,3,3,64,86704128,0.20267462730407715
2,3,3,3,64,86704128,0.1828460693359375
2,3,3,3,64,86704128,0.21226167678833008
2,3,3,3,64,86704128,0.19476747512817386
2,3,3,3,64,86704128,0.15726470947265625
2,3,3,3,64,86704128,0.17298316955566406
2,3,3,3,64,86704128,0.17248225212097168
2,3,3,3,64,86704128,0.19492816925048828
2,3,3,3,64,86704128,0.20598220825195312
2,3,3,3,64,86704128,0.16068601608276367
2,3,3,3,64,86704128,0.17269563674926758
2,3,3,3,64,86704128,0.18500590324401853
2,3,3,3,64,86704128,0.19189858436584475
2,3,3,3,64,86704128,0.19206690788269046
2,3,3,3,64,86704128,0.17987895011901855
2,3,3,3,64,86704128,0.18517065048217773
2,3,3,3,64,86704128,0.20919251441955566
2,3,3,3,64,86704128,0.15801525115966794
2,3,3,3,64,86704128,0.20335102081298828
2,3,3,3,64,86704128,0.18412208557128906
2,3,3,3,64,86704128,0.19131159782409668
2,3,3,3,64,86704128,0.17552542686462402
2,3,3,3,64,86704128,0.19141554832458496
2,3,3,3,64,86704128,0.201838493347168
2,3,3,3,64,86704128,0.21100449562072754
2,3,3,3,64,86704128,0.18331027030944824
2,3,3,3,64,86704128,0.1837265491485596
2,3,3,3,64,86704128,0.20886778831481934
2,3,3,3,64,86704128,0.21369600296020508
2,3,3,3,64,86704128,0.21381807327270508
2,3,3,3,64,86704128,0.1784529685974121
2,3,3,3,64,86704128,0.20563888549804688
2,3,3,3,64,86704128,0.17397069931030273
2,3,3,3,64,86704128,0.2064223289489746
2,3,3,3,64,86704128,0.17743420600891113
2,3,3,3,64,86704128,0.19687414169311526
2,3,3,3,64,86704128,0.20223689079284668
2,3,3,3,64,86704128,0.20633387565612796
2,3,3,3,64,86704128,0.20898652076721191
2,3,3,3,64,86704128,0.17527508735656738
2,3,3,3,64,86704128,0.17338085174560547
2,3,3,3,64,86704128,0.17499446868896484
2,3,3,3,64,86704128,0.21056318283081052
2,3,3,3,64,86704128,0.1592082977294922
2,3,3,3,64,86704128,0.20479202270507807
2,3,3,3,64,86704128,0.21323776245117188
2,3,3,3,64,86704128,0.1734910011291504
2,3,3,3,64,86704128,0.16045904159545898
2,3,3,3,64,86704128,0.1970052719116211
2,3,3,3,64,86704128,0.21331357955932614
2,3,3,3,64,86704128,0.2044353485107422
2,3,3,3,64,86704128,0.17513036727905273
2,3,3,3,64,86704128,0.21666288375854487
2,3,3,3,64,86704128,0.18027186393737796
2,3,3,3,64,86704128,0.19719815254211426
2,3,3,3,64,86704128,0.1582489013671875
2,3,3,3,64,86704128,0.196441650390625
2,3,3,3,64,86704128,0.19865083694458008
2,3,3,3,64,86704128,0.1594092845916748
2,3,3,3,64,86704128,0.20969724655151367
2,3,3,3,64,86704128,0.1962900161743164
2,3,3,3,64,86704128,0.2046635150909424
2,3,3,3,64,86704128,0.15932416915893555
2,3,3,3,64,86704128,0.2045726776123047
2,3,3,3,64,86704128,0.20201611518859866
2,3,3,3,64,86704128,0.1998910903930664
2,3,3,3,64,86704128,0.2020857334136963
2,3,3,3,64,86704128,0.1603085994720459
2,3,3,3,64,86704128,0.2054424285888672
2,3,3,3,64,86704128,0.1991136074066162
2,3,3,3,64,86704128,0.15970516204833984
2,3,3,3,64,86704128,0.19916176795959475
2,3,3,3,64,86704128,0.16022515296936035
2,3,3,3,64,86704128,0.2108135223388672
2,3,3,3,64,86704128,0.19733262062072754
2,3,3,3,64,86704128,0.20977783203125
2,3,3,3,64,86704128,0.21075701713562006
2,3,3,3,64,86704128,0.21031856536865234
2,3,3,3,64,86704128,0.19635748863220212
2,3,3,3,64,86704128,0.2102646827697754
2,3,3,3,64,86704128,0.19979596138000488
2,3,3,3,64,86704128,0.1974203586578369
2,3,3,3,64,86704128,0.17814874649047852
2,3,3,3,64,86704128,0.20990204811096191
2,3,3,3,64,86704128,0.2038207054138184
2,3,3,3,64,86704128,0.19855070114135745
2,3,3,3,64,86704128,0.181779146194458
2,3,3,3,64,86704128,0.21687722206115725
2,3,3,3,64,86704128,0.15854859352111814
2,3,3,3,64,86704128,0.17775487899780273
2,3,3,3,64,86704128,0.17890048027038574
2,3,3,3,64,86704128,0.17893552780151367
2,3,3,3,64,86704128,0.1818222999572754
2,3,3,3,64,86704128,0.16005468368530273
2,3,3,3,64,86704128,0.15868687629699707
2,3,3,3,64,86704128,0.18201446533203125
2,3,3,3,64,86704128,0.20534968376159668
2,3,3,3,64,86704128,0.1801319122314453
2,3,3,3,64,86704128,0.1819746494293213
2,3,3,3,64,86704128,0.19968843460083008
2,3,3,3,64,86704128,0.203751802444458
2,3,3,3,64,86704128,0.18439030647277832
2,3,3,3,64,86704128,0.2100372314453125
2,3,3,3,64,86704128,0.18017220497131348
2,3,3,3,64,86704128,0.18435978889465326
2,3,3,3,64,86704128,0.19843196868896484
2,3,3,3,64,86704128,0.21677470207214355
2,3,3,3,64,86704128,0.15863847732543945
2,3,3,3,64,86704128,0.17720484733581546
2,3,3,3,64,86704128,0.2099912166595459
2,3,3,3,64,86704128,0.1984710693359375
2,3,3,3,64,86704128,0.20404791831970212
2,3,3,3,64,86704128,0.2168211936950684
2,3,3,3,64,86704128,0.173783540725708
2,3,3,3,64,86704128,0.15838885307312012
2,3,3,3,64,86704128,0.1738111972808838
2,3,3,3,64,86704128,0.1995842456817627
2,3,3,3,64,86704128,0.15842413902282715
2,3,3,3,64,86704128,0.1835081577301025
2,3,3,3,64,86704128,0.1835315227508545
2,3,3,3,64,86704128,0.1996171474456787
2,3,3,3,64,86704128,0.15994977951049805
2,3,3,3,64,86704128,0.15997982025146484
2,3,3,3,64,86704128,0.20411372184753415
2,3,3,3,64,86704128,0.17461490631103516
2,3,3,3,64,86704128,0.17463040351867676
2,3,3,3,64,86704128,0.1938178539276123
2,3,3,3,64,86704128,0.1938033103942871
2,3,3,3,64,86704128,0.15980792045593262
2,3,3,3,64,86704128,0.15982937812805176
2,3,3,3,64,86704128,0.20409274101257324
2,3,3,3,64,86704128,0.15753412246704102
2,3,3,3,64,86704128,0.15752267837524414
2,3,3,3,64,86704128,0.1771407127380371
2,3,3,3,64,86704128,0.1771540641784668
2,3,3,3,64,86704128,0.17584013938903809
2,3,3,3,64,86704128,0.17583036422729492
2,3,3,3,64,86704128,0.2036471366882324
2,3,3,3,64,86704128,0.20365428924560547
2,3,3,3,64,86704128,0.200129508972168
2,3,3,3,64,86704128,0.20012307167053225
2,3,3,3,64,86704128,0.17823433876037598
2,3,3,3,64,86704128,0.17822766304016113
2,3,3,3,64,86704128,0.1975564956665039
2,3,3,3,64,86704128,0.1975524425506592
2,3,3,3,64,86704128,0.1778268814086914
2,3,3,3,64,86704128,0.17782282829284668
2,3,3,3,64,86704128,0.19286012649536133
2,3,3,3,64,86704128,0.1928572654724121
2,3,3,3,64,86704128,0.2052607536315918
2,3,3,3,64,86704128,0.2052609920501709
3,3,3,64,64,1849688064,0.4381252144322251
3,3,3,64,64,1849688064,0.4634135578617905
3,3,3,64,64,1849688064,0.43542345509384617
